                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.40622,                0.22173,                0.82919,                0.95047,                0.73854,                0.75218,                0.62835,                0.30102,                0.15309,                0.78683,               0.006535,               0.006535,               0.006535
                     37,                0.39685,                0.21626,                0.82677,                0.80712,                0.74166,                0.75099,                0.61806,                0.29666,                0.15163,                0.78515,               0.006436,               0.006436,               0.006436
                     38,                0.39855,                0.21905,                0.82638,                0.87782,                0.74017,                 0.7534,                0.60957,                0.29541,                0.15021,                0.78517,               0.006337,               0.006337,               0.006337
                     39,                0.39664,                0.21703,                0.82835,                0.78835,                0.75951,                0.74372,                 0.6128,                0.29302,                 0.1477,                0.78514,               0.006238,               0.006238,               0.006238
                     40,                0.39415,                  0.215,                0.82643,                0.92569,                0.73417,                0.76687,                0.62589,                0.29165,                 0.1468,                0.78435,               0.006139,               0.006139,               0.006139
                     41,                 0.3895,                0.21153,                0.82418,                0.99168,                0.74045,                0.77174,                0.64585,                0.28897,                0.14516,                0.78459,                0.00604,                0.00604,                0.00604
                     42,                0.38999,                0.21138,                0.82498,                0.91647,                0.73295,                0.76557,                0.64066,                0.28753,                0.14476,                0.78346,               0.005941,               0.005941,               0.005941
                     43,                0.38952,                0.21098,                0.82513,                0.92006,                0.73574,                0.77134,                0.63785,                0.28665,                0.14377,                0.78416,               0.005842,               0.005842,               0.005842
                     44,                0.38427,                 0.2098,                0.82217,                0.82474,                0.77308,                0.78223,                 0.6461,                0.28447,                0.14261,                0.78227,               0.005743,               0.005743,               0.005743
                     45,                0.38333,                  0.208,                0.82246,                0.95154,                0.73455,                0.78176,                0.65187,                 0.2826,                0.14102,                0.78195,               0.005644,               0.005644,               0.005644
                     46,                0.38156,                0.20719,                0.82332,                0.96125,                0.73561,                0.78346,                0.64966,                0.28124,                0.14058,                0.78268,               0.005545,               0.005545,               0.005545
                     47,                0.38012,                 0.2053,                0.82208,                0.99529,                0.75541,                0.79681,                0.65652,                 0.2799,                0.14015,                0.78251,               0.005446,               0.005446,               0.005446
                     48,                0.37638,                0.20305,                0.82227,                0.89527,                0.75883,                0.79407,                0.65492,                0.27718,                0.13877,                0.78108,               0.005347,               0.005347,               0.005347
                     49,                0.37155,                0.20087,                0.82052,                0.95563,                  0.737,                0.79067,                0.65517,                0.27482,                0.13741,                0.78056,               0.005248,               0.005248,               0.005248
                     50,                0.37126,                0.20041,                0.82092,                0.97059,                0.73705,                0.79101,                0.65441,                 0.2732,                0.13691,                0.78068,               0.005149,               0.005149,               0.005149
                     51,                0.37081,                0.20143,                0.81953,                0.99351,                  0.758,                0.81176,                0.66756,                0.27219,                0.13691,                0.78091,                0.00505,                0.00505,                0.00505
                     52,                0.36873,                0.19912,                0.82033,                0.85262,                0.77738,                0.80434,                0.66502,                0.27119,                0.13581,                0.78064,               0.004951,               0.004951,               0.004951
                     53,                0.36748,                0.19729,                0.81837,                  0.878,                0.75757,                0.80531,                0.66355,                0.26977,                0.13478,                0.78052,               0.004852,               0.004852,               0.004852
                     54,                0.36359,                0.19559,                0.81899,                0.89271,                0.77606,                0.81572,                0.67847,                0.26859,                0.13378,                 0.7797,               0.004753,               0.004753,               0.004753
                     55,                0.36149,                0.19311,                0.81696,                0.89307,                0.77729,                0.81438,                0.68271,                0.26774,                0.13282,                0.78002,               0.004654,               0.004654,               0.004654
                     56,                 0.3654,                0.19485,                0.81916,                0.88964,                0.77719,                0.80775,                0.67667,                 0.2671,                0.13273,                0.77958,               0.004555,               0.004555,               0.004555
                     57,                0.36071,                0.19361,                0.81716,                0.88954,                0.77692,                0.82093,                0.68173,                0.26594,                0.13194,                0.77922,               0.004456,               0.004456,               0.004456
                     58,                  0.358,                0.19215,                 0.8171,                0.88343,                0.77711,                0.82555,                0.68383,                0.26502,                0.13128,                0.77912,               0.004357,               0.004357,               0.004357
                     59,                0.35496,                0.18982,                0.81627,                0.88951,                0.77678,                0.83216,                0.68669,                0.26393,                0.13081,                0.77906,               0.004258,               0.004258,               0.004258
                     60,                0.34272,                0.18261,                0.81283,                0.87558,                0.79674,                0.83313,                0.68613,                0.26269,                0.12979,                0.77881,               0.004159,               0.004159,               0.004159
                     61,                0.34752,                0.18454,                0.81371,                0.81706,                0.85111,                0.84069,                0.68188,                0.26163,                0.12904,                0.77873,                0.00406,                0.00406,                0.00406
                     62,                 0.3267,                0.17492,                0.80894,                0.83261,                0.85039,                0.84331,                0.68197,                0.26121,                0.12877,                0.77872,               0.003961,               0.003961,               0.003961
                     63,                0.33961,                0.18157,                0.81158,                 0.8913,                0.83227,                0.85258,                0.68796,                 0.2605,                0.12869,                0.77854,               0.003862,               0.003862,               0.003862
                     64,                0.34743,                0.18272,                0.81674,                0.86994,                0.83229,                0.85553,                 0.6942,                0.25937,                 0.1279,                0.77831,               0.003763,               0.003763,               0.003763
                     65,                0.34391,                 0.1817,                0.81452,                0.86979,                0.85022,                0.85745,                0.70194,                0.25833,                0.12765,                0.77819,               0.003664,               0.003664,               0.003664
                     66,                0.33947,                0.18134,                0.81156,                0.88236,                0.83232,                0.85722,                0.70261,                0.25768,                0.12744,                0.77807,               0.003565,               0.003565,               0.003565
                     67,                0.34026,                0.18016,                0.81279,                0.87077,                0.83168,                0.85674,                0.70281,                0.25664,                0.12688,                0.77795,               0.003466,               0.003466,               0.003466
                     68,                0.33805,                0.17902,                0.81206,                0.86711,                 0.8495,                0.85669,                0.70443,                0.25572,                 0.1263,                0.77768,               0.003367,               0.003367,               0.003367
                     69,                0.30304,                0.16381,                0.80292,                0.86958,                0.84919,                0.85414,                0.70468,                0.25549,                0.12626,                 0.7777,               0.003268,               0.003268,               0.003268
                     70,                0.31646,                0.16873,                0.80534,                0.87376,                0.84886,                0.85776,                 0.7061,                0.25518,                0.12567,                0.77781,               0.003169,               0.003169,               0.003169
                     71,                0.32462,                0.17132,                0.81043,                0.88003,                0.84851,                0.86401,                0.71541,                0.25477,                0.12522,                0.77783,                0.00307,                0.00307,                0.00307
                     72,                0.32425,                0.17096,                0.80928,                0.90516,                0.84445,                0.86462,                0.71555,                0.25427,                0.12499,                0.77776,               0.002971,               0.002971,               0.002971
                     73,                0.32373,                 0.1714,                0.80724,                0.90476,                0.84454,                0.86453,                 0.7154,                 0.2539,                0.12469,                0.77765,               0.002872,               0.002872,               0.002872
                     74,                0.32619,                0.17178,                0.80921,                0.90523,                0.84527,                 0.8663,                 0.7156,                0.25346,                0.12445,                0.77759,               0.002773,               0.002773,               0.002773
                     75,                0.32731,                0.17269,                 0.8093,                0.90652,                0.84718,                0.86518,                0.71462,                0.25289,                0.12412,                 0.7775,               0.002674,               0.002674,               0.002674
                     76,                0.32493,                0.17021,                0.80895,                0.89827,                0.84852,                0.86752,                0.71482,                0.25247,                0.12396,                0.77741,               0.002575,               0.002575,               0.002575
                     77,                0.32466,                 0.1713,                 0.8095,                0.88169,                0.84845,                 0.8697,                0.71482,                 0.2518,                0.12379,                 0.7773,               0.002476,               0.002476,               0.002476
                     78,                 0.2837,                0.15239,                0.79796,                0.88203,                0.84846,                0.86903,                0.71719,                 0.2517,                0.12338,                0.77725,               0.002377,               0.002377,               0.002377
                     79,                0.29472,                 0.1564,                0.79978,                0.89563,                0.84823,                  0.868,                0.71626,                0.25141,                0.12326,                0.77717,               0.002278,               0.002278,               0.002278
                     80,                0.30359,                0.15902,                 0.8048,                0.90395,                0.84837,                0.86972,                0.71755,                0.25108,                  0.123,                0.77713,               0.002179,               0.002179,               0.002179
                     81,                0.30445,                0.15906,                0.80375,                0.90679,                0.84545,                0.87121,                0.71821,                0.25099,                0.12278,                0.77707,                0.00208,                0.00208,                0.00208
                     82,                0.30511,                0.15957,                0.80281,                0.90696,                0.84653,                0.87137,                0.71833,                0.25069,                0.12248,                  0.777,               0.001981,               0.001981,               0.001981
                     83,                 0.3096,                0.16038,                0.80535,                0.90733,                0.84774,                0.87133,                0.71846,                0.25051,                0.12234,                0.77695,               0.001882,               0.001882,               0.001882
                     84,                0.31187,                0.16036,                0.80621,                0.90616,                0.84863,                0.87249,                0.71965,                0.25027,                0.12195,                0.77691,               0.001783,               0.001783,               0.001783
                     85,                0.30998,                0.15909,                0.80591,                0.90413,                0.84855,                0.87198,                0.71975,                0.25012,                0.12174,                0.77686,               0.001684,               0.001684,               0.001684
                     86,                0.31013,                0.15942,                0.80605,                0.90216,                0.84844,                0.87587,                0.72327,                0.24989,                0.12171,                 0.7768,               0.001585,               0.001585,               0.001585
                     87,                0.30942,                0.15896,                0.80622,                0.90028,                0.84847,                0.87451,                0.72245,                0.24963,                0.12146,                0.77673,               0.001486,               0.001486,               0.001486
                     88,                0.30598,                0.15669,                0.80488,                 0.8992,                0.84867,                0.87633,                 0.7234,                0.24931,                0.12135,                0.77668,               0.001387,               0.001387,               0.001387
                     89,                0.30393,                0.15556,                0.80615,                0.90181,                0.84832,                0.87662,                0.72353,                  0.249,                0.12122,                0.77661,               0.001288,               0.001288,               0.001288
                     90,                0.28596,                0.14772,                0.78033,                0.90205,                0.84841,                0.87974,                0.72604,                0.24877,                0.12117,                0.77657,               0.001189,               0.001189,               0.001189
                     91,                0.28264,                0.14596,                0.77969,                0.90162,                0.84852,                0.88178,                0.72749,                0.24849,                0.12101,                0.77651,                0.00109,                0.00109,                0.00109
                     92,                0.27928,                0.14426,                0.77968,                0.90262,                0.84856,                 0.8824,                 0.7277,                0.24812,                0.12097,                0.77647,               0.000991,               0.000991,               0.000991
                     93,                0.27695,                0.14283,                 0.7803,                0.90271,                0.84873,                0.88613,                0.73021,                0.24779,                0.12074,                0.77639,               0.000892,               0.000892,               0.000892
                     94,                0.27477,                0.14102,                0.77718,                0.90255,                0.84902,                0.88566,                0.72997,                0.24736,                0.12051,                0.77633,               0.000793,               0.000793,               0.000793
                     95,                0.27002,                0.13907,                0.77848,                0.90299,                0.84907,                 0.8868,                0.73141,                0.24701,                0.12039,                0.77627,               0.000694,               0.000694,               0.000694
                     96,                0.27166,                0.13927,                0.77833,                0.91159,                0.86253,                0.88958,                0.73313,                0.24671,                0.12015,                0.77622,               0.000595,               0.000595,               0.000595
                     97,                0.26665,                0.13717,                0.77807,                0.90933,                0.86706,                0.88832,                0.73292,                0.24634,                0.11992,                0.77616,               0.000496,               0.000496,               0.000496
                     98,                0.26452,                0.13464,                0.77731,                0.90641,                0.86713,                0.89262,                0.73573,                0.24609,                0.11995,                0.77611,               0.000397,               0.000397,               0.000397
                     99,                0.26218,                 0.1332,                0.77664,                0.90559,                0.86711,                0.89283,                0.73605,                0.24589,                0.12004,                0.77607,               0.000298,               0.000298,               0.000298
